Genes,sub-cen,clo-cen,degree,katz,p-rank,classes
AT1G05260,2.178183557,0.019230769,0.019230769,0.024939138,0.013899359,0
AT1G15700,2.91457744,0.028846154,0.028846154,0.02729593,0.018274909,1
AT1G32060,3.762195691,0.038461538,0.038461538,0.029701821,0.022650458,2
AT1G42970,1.543080635,0.009615385,0.009615385,0.022629959,0.00952381,3
AT1G56520,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,4
AT1G62800,3.762195691,0.038461538,0.038461538,0.029701821,0.022650458,5
AT1G68590,1.589091778,0.012820513,0.009615385,0.022860877,0.007336035,6
AT1G68750,2722.152265,0.711538462,0.711538462,0.658006714,0.328938929,7
AT1G70500,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,8
AT1G71100,2.91457744,0.028846154,0.028846154,0.02729593,0.018274909,9
AT1G72570,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,10
AT1G75040,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,11
AT1G79070,1.63819248,0.017307692,0.009615385,0.023096556,0.006606776,12
AT1G80550,1.63819248,0.017307692,0.009615385,0.023096556,0.006606776,13
AT2G08555,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,14
AT2G08640,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,15
AT2G13450,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,16
AT2G13463,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,17
AT2G15640,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,18
AT2G16220,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,19
AT2G21010,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,20
AT2G26850,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,21
AT2G30970,3.762195691,0.038461538,0.038461538,0.029701821,0.022650458,22
AT2G34210,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,23
AT2G36550,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,24
AT2G38590,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,25
AT2G41445,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,26
AT3G01230,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,27
AT3G01870,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,28
AT3G02070,1.63819248,0.017307692,0.009615385,0.023096556,0.006606776,29
AT3G10780,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,30
AT3G10980,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,31
AT3G12160,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,32
AT3G17570,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,33
AT3G18490,1.63819248,0.017307692,0.009615385,0.023096556,0.006606776,34
AT3G19410,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,35
AT3G21120,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,36
AT3G21460,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,37
AT3G22580,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,38
AT3G25080,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,39
AT3G29260,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,40
AT3G30340,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,41
AT3G42060,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,42
AT3G44560,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,43
AT3G45220,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,44
AT3G45730,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,45
AT3G45950,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,46
AT3G51770,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,47
AT3G53010,1.63819248,0.017307692,0.009615385,0.023096556,0.006606776,48
AT3G55252,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,49
AT3G60710,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,50
AT3G61720,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,51
AT3G62180,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,52
AT4G01520,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,53
AT4G03205,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,54
AT4G03830,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,55
AT4G04950,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,56
AT4G05071,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,57
AT4G06675,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,58
AT4G08430,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,59
AT4G10340,1.543080635,0.009615385,0.009615385,0.022629959,0.00952381,60
AT4G12530,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,61
AT4G12920,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,62
AT4G13095,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,63
AT4G15233,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,64
AT4G16410,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,65
AT4G18180,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,66
AT4G20100,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,67
AT4G20790,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,68
AT4G21270,1.589091778,0.012820513,0.009615385,0.022860877,0.007336035,69
AT4G21902,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,70
AT4G22520,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,71
AT4G26030,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,72
AT4G27330,37.7723279,0.35818943,0.009615385,0.086167546,0.005207389,73
AT4G28980,1.690548923,0.021978022,0.009615385,0.023337145,0.006242147,74
