InteractorA,InteractorB,Correlation,t-statistic,p_value
AT1G05260,AT1G68590,-0.9849486,-13.9580849,8.42863E-06
AT1G05260,AT4G21270,-0.99220943,-19.50863012,1.17519E-06
AT1G15700,AT1G79070,0.9889185,16.31653292,3.37382E-06
AT1G15700,AT3G02070,0.98436904,13.69082014,9.43609E-06
AT1G15700,AT3G18490,-0.9890698,-16.43098814,3.23785E-06
AT1G32060,AT1G56520,0.98425156,13.63843679,9.64959E-06
AT1G32060,AT4G03205,0.9865725,14.79636239,5.99157E-06
AT1G32060,AT4G15233,0.987204,15.16437186,5.18781E-06
AT1G32060,AT4G16410,0.9931035,20.74870612,8.15786E-07
AT1G42970,AT4G10340,0.9963036,28.40960557,1.25912E-07
AT1G62800,AT3G10980,-0.98479605,-13.88627067,8.6865E-06
AT1G62800,AT3G45730,0.9897324,16.96139056,2.68533E-06
AT1G62800,AT3G51770,-0.9887164,-16.16730085,3.56121E-06
AT1G62800,AT4G28980,-0.98420167,-13.61636128,9.74124E-06
AT1G68750,AT1G70500,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT1G72570,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT1G75040,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G08555,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G08640,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT2G13450,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G13463,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G15640,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT2G16220,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G21010,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G26850,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G34210,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT2G36550,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G38590,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G41445,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G01230,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT3G01870,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G10780,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G12160,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT3G17570,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G19410,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G21120,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G21460,0.99999994,7094.479685,5.29396E-22
