Genes,sub-cen,clo-cen,degree,katz,p-rank,classes
AT1G03560,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,0
AT1G08370,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,1
AT1G08380,2.91457744,0.053571429,0.053571429,0.154963492,0.03366736,2
AT1G15820,1.63819248,0.032142857,0.017857143,0.131122955,0.01216936,3
AT1G20015,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,4
AT1G20330,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,5
AT1G30360,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,6
AT1G30380,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,7
AT1G30520,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,8
AT1G32050,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,9
AT1G32060,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,10
AT1G42560,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,11
AT1G42970,3.762195691,0.071428571,0.071428571,0.16862212,0.04172911,12
AT1G62780,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,13
AT1G64760,1.690548923,0.040816327,0.017857143,0.132488809,0.011497547,14
AT1G68690,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,15
AT1G68750,4.731673471,0.089285714,0.089285714,0.182568272,0.04979086,16
AT2G01280,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,17
AT2G01290,2.91457744,0.053571429,0.053571429,0.154963492,0.03366736,18
AT2G05100,1.63819248,0.032142857,0.017857143,0.131122955,0.01216936,19
AT2G09635,1.746334694,0.049603175,0.017857143,0.1338834,0.01109446,20
AT2G19050,1.746334694,0.049603175,0.017857143,0.1338834,0.01109446,21
AT2G21330,1.690548923,0.040816327,0.017857143,0.132488809,0.011497547,22
AT2G25770,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,23
AT2G34224,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,24
AT3G04115,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,25
AT3G04120,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,26
AT3G12775,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,27
AT3G15635,1.63819248,0.032142857,0.017857143,0.131122955,0.01216936,28
AT3G29970,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,29
AT3G47510,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,30
AT3G54400,1.63819248,0.032142857,0.017857143,0.131122955,0.01216936,31
AT3G61160,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,32
AT3G63070,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,33
AT4G09620,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,34
AT4G10340,1.690548923,0.040816327,0.017857143,0.132488809,0.011497547,35
AT4G31380,1.63819248,0.032142857,0.017857143,0.131122955,0.01216936,36
AT4G37840,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,37
AT4G37870,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,38
AT4G38065,1.746334694,0.049603175,0.017857143,0.1338834,0.01109446,39
AT4G38092,1.746334694,0.049603175,0.017857143,0.1338834,0.01109446,40
AT4G39520,1.63819248,0.032142857,0.017857143,0.131122955,0.01216936,41
AT5G07630,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,42
AT5G11450,1.690548923,0.040816327,0.017857143,0.132488809,0.011497547,43
AT5G23155,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,44
AT5G24500,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,45
AT5G41090,1.746334694,0.049603175,0.017857143,0.1338834,0.01109446,46
AT5G49030,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,47
AT5G52390,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,48
AT5G54960,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,49
AT5G57180,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,50
AT5G58830,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,51
AT5G60820,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,52
AT5G62670,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,53
AT5G65340,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,54
ATMG00930,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,55
ATMG01000,1.543080635,0.017857143,0.017857143,0.128474009,0.01754386,56
