InteractorA,InteractorB,Correlation,t-statistic,p_value
AT1G03560,AT2G25770,0.98742205,15.2977769,4.92793E-06
AT1G08370,AT3G61160,0.9870458,15.06967592,5.38197E-06
AT1G08380,AT1G15820,0.98520976,14.08359572,7.999E-06
AT1G08380,AT2G05100,0.98639673,14.69849205,6.22913E-06
AT1G08380,AT3G54400,0.98525715,14.10672792,7.92262E-06
AT1G20015,AT5G58830,0.9999964,915.8901681,1.1435E-16
AT1G20330,AT5G62670,0.98763543,15.43172619,4.6821E-06
AT1G30360,ATMG01000,0.9870278,15.05901326,5.40436E-06
AT1G30380,AT1G30520,0.98488635,13.92865202,8.53322E-06
AT1G32050,AT5G60820,0.9852787,14.11728985,7.88803E-06
AT1G32060,AT3G63070,-0.99432695,-22.89804343,4.54506E-07
AT1G42560,AT5G65340,0.9867819,14.91547071,5.71654E-06
AT1G42970,AT1G64760,0.9871409,15.12637755,5.26472E-06
AT1G42970,AT2G21330,0.98746455,15.32418042,4.87831E-06
AT1G42970,AT4G10340,0.9845894,13.79067389,9.04413E-06
AT1G42970,AT5G11450,0.98488927,13.93003575,8.52827E-06
AT1G62780,AT5G57180,0.9894837,16.75647347,2.88468E-06
AT1G68690,AT5G49030,-0.9906962,-17.83130286,1.99935E-06
AT1G68750,AT2G09635,0.999912,184.6456953,1.70243E-12
AT1G68750,AT2G19050,0.9896902,16.92608559,2.7185E-06
AT1G68750,AT4G38065,0.9840715,13.55926721,9.98301E-06
AT1G68750,AT4G38092,0.9999553,259.0422053,2.23346E-13
AT1G68750,AT5G41090,0.9999866,472.9589976,6.03021E-15
AT2G01280,AT2G34224,0.9904043,17.5541367,2.19299E-06
AT2G01290,AT3G15635,0.9899782,17.17133553,2.49751E-06
AT2G01290,AT4G31380,0.98537964,14.16701138,7.72753E-06
AT2G01290,AT4G39520,-0.98912466,-16.47304822,3.18949E-06
AT3G04115,AT3G29970,0.98742974,15.30254888,4.91892E-06
AT3G04120,AT5G23155,-0.98497,-13.96824272,8.39287E-06
AT3G12775,AT5G54960,0.98663163,14.82970927,5.91305E-06
AT3G47510,ATMG00930,-0.9875437,-15.37372254,4.78676E-06
AT4G09620,AT5G24500,-0.9854651,-14.20952896,7.59329E-06
AT4G37840,AT5G52390,0.9999999,5016.554395,4.23517E-21
AT4G37870,AT5G07630,0.98759425,15.40560338,4.7289E-06
