Genes,sub-cen,clo-cen,degree,katz,p-rank,classes
AT1G10960,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,0
AT1G15700,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,1
AT1G30510,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,2
AT1G68750,30.88345677,0.472222222,0.472222222,0.405949764,0.225719304,3
AT1G71100,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,4
AT2G01290,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,5
AT2G04380,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,6
AT2G06655,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,7
AT2G09140,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,8
AT2G30970,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,9
AT2G31030,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,10
AT2G38905,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,11
AT2G39180,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,12
AT3G01295,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,13
AT3G03835,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,14
AT3G04120,2.178183557,0.055555556,0.055555556,0.152806594,0.039445294,15
AT3G04755,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,16
AT3G07830,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,17
AT3G14250,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,18
AT3G15359,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,19
AT3G26190,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,20
AT3G28220,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,21
AT3G48280,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,22
AT3G49725,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,23
AT3G54790,1.589091778,0.037037037,0.027777778,0.140072711,0.020817893,24
AT3G55780,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,25
AT4G02940,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,26
AT4G03280,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,27
AT4G39640,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,28
AT5G03210,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,29
AT5G07035,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,30
AT5G10500,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,31
AT5G13560,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,32
AT5G16910,1.589091778,0.037037037,0.027777778,0.140072711,0.020817893,33
AT5G48575,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,34
AT5G54700,2.757850398,0.243265993,0.027777778,0.165386941,0.015339246,35
AT5G60460,1.543080635,0.027777778,0.027777778,0.138657835,0.027027027,36
