InteractorA,InteractorB,Correlation,t-statistic,p_value
AT1G10960,AT3G48280,-0.99779516,-30.06831694,7.2865E-06
AT1G15700,AT3G55780,0.99888974,42.40757928,1.84829E-06
AT1G30510,AT4G02940,-0.9983237,-34.49763272,4.21274E-06
AT1G68750,AT2G04380,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT2G06655,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT2G09140,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT2G31030,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT2G38905,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G01295,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G03835,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G04755,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G07830,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G14250,0.99999976,2896.308685,8.52651E-14
AT1G68750,AT3G15359,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G26190,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G28220,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT5G07035,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT5G10500,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT5G48575,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT5G54700,0.99999994,5792.618406,5.32907E-15
AT1G71100,AT3G49725,-0.99744165,-27.90621264,9.80932E-06
AT2G01290,AT5G60460,0.9980594,32.05624619,5.64532E-06
AT2G30970,AT2G39180,0.9989741,44.11914354,1.57818E-06
AT3G04120,AT3G54790,-0.998611,-37.90575782,2.8928E-06
AT3G04120,AT5G16910,0.9998655,121.9132019,2.7149E-08
AT4G03280,AT5G13560,-0.99804324,-31.92326058,5.73967E-06
AT4G39640,AT5G03210,0.99879813,40.7561911,2.16589E-06
