Genes,sub-cen,clo-cen,degree,katz,p-rank,classes
AT1G15700,2.178183557,0.040816327,0.040816327,0.099097786,0.02918891,0
AT1G16030,5.83438641,0.12244898,0.12244898,0.13775295,0.065944549,1
AT1G29400,1.589091778,0.027210884,0.020408163,0.090839637,0.015405545,2
AT1G30510,1.543080635,0.020408163,0.020408163,0.089922065,0.02,3
AT1G42970,1.543080635,0.020408163,0.020408163,0.089922065,0.02,4
AT1G60090,1.805731068,0.066790353,0.020408163,0.094705153,0.012342575,5
AT1G68750,156.2450654,0.673469388,0.673469388,0.519399718,0.314045116,6
AT1G80340,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,7
AT2G08020,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,8
AT2G24255,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,9
AT2G26570,1.543080635,0.020408163,0.020408163,0.089922065,0.02,10
AT2G28700,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,11
AT2G31957,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,12
AT2G38195,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,13
AT2G41240,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,14
AT2G41860,1.805731068,0.066790353,0.020408163,0.094705153,0.012342575,15
AT3G01655,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,16
AT3G01755,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,17
AT3G08695,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,18
AT3G09005,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,19
AT3G11660,1.543080635,0.020408163,0.020408163,0.089922065,0.02,20
AT3G18905,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,21
AT3G23320,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,22
AT3G45860,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,23
AT3G46070,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,24
AT3G47030,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,25
AT4G03280,1.543080635,0.020408163,0.020408163,0.089922065,0.02,26
AT4G06780,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,27
AT4G08595,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,28
AT4G10250,1.805731068,0.066790353,0.020408163,0.094705153,0.012342575,29
AT4G11180,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,30
AT4G16880,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,31
AT4G18680,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,32
AT4G27670,1.805731068,0.066790353,0.020408163,0.094705153,0.012342575,33
AT4G32380,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,34
AT4G35430,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,35
AT4G39360,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,36
AT5G06765,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,37
AT5G08830,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,38
AT5G09370,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,39
AT5G09405,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,40
AT5G13630,1.543080635,0.020408163,0.020408163,0.089922065,0.02,41
AT5G21960,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,42
AT5G24205,1.805731068,0.066790353,0.020408163,0.094705153,0.012342575,43
AT5G40040,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,44
AT5G44570,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,45
AT5G48570,1.805731068,0.066790353,0.020408163,0.094705153,0.012342575,46
AT5G54035,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,47
AT5G54620,5.704395922,0.341915228,0.020408163,0.132869695,0.011089542,48
ATMG00560,1.589091778,0.027210884,0.020408163,0.090839637,0.015405545,49
