InteractorA,InteractorB,Correlation,t-statistic,p_value
AT1G15700,AT1G29400,0.9980031,31.60011934,5.97726E-06
AT1G15700,ATMG00560,-0.99773747,-29.68109847,7.67277E-06
AT1G16030,AT1G60090,0.99804735,31.95702624,5.71552E-06
AT1G16030,AT2G41860,0.99836254,34.90567209,4.01971E-06
AT1G16030,AT4G10250,0.9993693,56.28717378,5.96486E-07
AT1G16030,AT4G27670,0.9977294,29.6281604,7.72754E-06
AT1G16030,AT5G24205,0.99800974,31.65262437,5.93783E-06
AT1G16030,AT5G48570,0.9985709,37.36969181,3.06198E-06
AT1G30510,AT3G11660,0.9976433,29.0799007,8.3246E-06
AT1G42970,AT2G26570,-0.9983297,-34.56000517,4.1825E-06
AT1G68750,AT1G80340,0.9999989,1365.331868,1.72662E-12
AT1G68750,AT2G08020,0.99997145,264.6639498,1.22273E-09
AT1G68750,AT2G24255,0.9999991,1495.646393,1.19904E-12
AT1G68750,AT2G28700,0.99999845,1136.024241,3.60246E-12
AT1G68750,AT2G31957,0.9998986,140.4360982,1.54202E-08
AT1G68750,AT2G38195,0.99968714,79.93594912,1.46801E-07
AT1G68750,AT2G41240,0.9999977,927.5591902,8.10553E-12
AT1G68750,AT3G01655,0.9997436,88.29855704,9.86201E-08
AT1G68750,AT3G01755,0.9994168,58.53693435,5.1002E-07
AT1G68750,AT3G08695,0.99847245,36.14256433,3.49834E-06
AT1G68750,AT3G09005,0.9984722,36.13973333,3.49944E-06
AT1G68750,AT3G18905,0.9999809,323.8110561,5.45704E-10
AT1G68750,AT3G23320,0.99997956,312.765619,6.26968E-10
AT1G68750,AT3G45860,0.9999999,4095.999512,2.13163E-14
AT1G68750,AT3G46070,0.99997026,259.3055163,1.32697E-09
AT1G68750,AT3G47030,0.999999,1404.914986,1.5401E-12
AT1G68750,AT4G06780,0.999957,215.7191246,2.77035E-09
AT1G68750,AT4G08595,0.9997977,99.41757216,6.1377E-08
AT1G68750,AT4G11180,0.9999895,436.6304866,1.65074E-10
AT1G68750,AT4G16880,0.9999979,979.1292341,6.52812E-12
AT1G68750,AT4G18680,0.9999892,430.5573158,1.74587E-10
AT1G68750,AT4G32380,0.99999845,1136.024241,3.60246E-12
AT1G68750,AT4G35430,0.99994814,196.3779844,4.03371E-09
AT1G68750,AT4G39360,0.99999386,570.7601812,5.65363E-11
AT1G68750,AT5G06765,0.999723,84.95553248,1.15076E-07
AT1G68750,AT5G08830,0.9994627,60.98780506,4.32914E-07
AT1G68750,AT5G09370,0.99999225,508.0423362,9.00618E-11
AT1G68750,AT5G09405,0.99999756,904.6528508,8.95818E-12
AT1G68750,AT5G21960,0.9999992,1606.582134,9.00613E-13
AT1G68750,AT5G40040,0.9999846,360.6271454,3.54728E-10
AT1G68750,AT5G44570,0.9999529,206.082422,3.32598E-09
AT1G68750,AT5G54035,0.99960446,71.08844808,2.34629E-07
AT1G68750,AT5G54620,0.9999989,1365.331868,1.72662E-12
AT4G03280,AT5G13630,0.99781096,30.17678959,7.18268E-06
