Genes,sub-cen,clo-cen,degree,katz,p-rank,classes
AT1G03550,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,0
AT1G03600,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,1
AT1G08370,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,2
AT1G08380,49.87792505,0.209671027,0.195402299,0.286129129,0.075496915,3
AT1G10930,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,4
AT1G10960,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,5
AT1G16025,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,6
AT1G18350,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,7
AT1G20015,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,8
AT1G20020,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,9
AT1G20330,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,10
AT1G20340,7.793238581,0.073563218,0.068965517,0.139329814,0.029126529,11
AT1G29910,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,12
AT1G30360,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,13
AT1G30380,32.98696534,0.178837052,0.137931034,0.234981125,0.051766458,14
AT1G31240,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,15
AT1G31935,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,16
AT1G32060,6.688403743,0.066875653,0.057471264,0.13083832,0.024156601,17
AT1G32080,7.186983884,0.138192268,0.022988506,0.129886063,0.009146168,18
AT1G42550,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,19
AT1G42970,21.09576772,0.16091954,0.16091954,0.217046927,0.079255393,20
AT1G58602,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,21
AT1G60600,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,22
AT1G62780,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,23
AT1G68360,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,24
AT1G68520,7.186983884,0.138192268,0.022988506,0.129886063,0.009146168,25
AT1G68725,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,26
AT1G68890,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,27
AT1G70560,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,28
AT1G71500,3.468444663,0.052545156,0.022988506,0.104791963,0.009937426,29
AT1G72600,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,30
AT1G75470,1.86928789,0.043272481,0.011494253,0.091708131,0.005830804,31
AT1G75580,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,32
AT1G76540,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,33
AT1G78630,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,34
AT2G02510,1.86928789,0.043272481,0.011494253,0.091708131,0.005830804,35
AT2G03975,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,36
AT2G05070,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,37
AT2G20570,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,38
AT2G23580,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,39
AT2G23670,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,40
AT2G30520,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,41
AT2G35260,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,42
AT2G35390,1.810401153,0.040868455,0.011494253,0.090858982,0.005811168,43
AT2G38330,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,44
AT2G39980,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,45
AT2G45560,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,46
AT3G02150,2.630702871,0.108579639,0.011494253,0.101273213,0.005371331,47
AT3G04115,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,48
AT3G04650,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,49
AT3G12760,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,50
AT3G12780,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,51
AT3G14420,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,52
AT3G17100,3.468444663,0.052545156,0.022988506,0.104791963,0.009937426,53
AT3G18680,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,54
AT3G19800,1.810401153,0.040868455,0.011494253,0.090858982,0.005811168,55
AT3G21330,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,56
AT3G21870,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,57
AT3G26710,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,58
AT3G27690,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,59
AT3G51420,1.86928789,0.043272481,0.011494253,0.091708131,0.005830804,60
AT3G51820,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,61
AT3G52150,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,62
AT3G59780,2.630702871,0.108579639,0.011494253,0.101273213,0.005371331,63
AT3G59980,2.630702871,0.108579639,0.011494253,0.101273213,0.005371331,64
AT3G60070,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,65
AT4G03175,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,66
AT4G03280,10.86258207,0.141406041,0.034482759,0.144317816,0.0127621,67
AT4G03905,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,68
AT4G08960,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,69
AT4G10340,2.630702871,0.108579639,0.011494253,0.101273213,0.005371331,70
AT4G13200,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,71
AT4G14120,3.164678259,0.119224701,0.011494253,0.106388,0.005479383,72
AT4G14130,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,73
AT4G24280,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,74
AT4G26220,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,75
AT4G26850,10.86258207,0.141406041,0.034482759,0.144317816,0.0127621,76
AT4G30950,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,77
AT4G37930,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,78
AT5G04140,7.186983884,0.138192268,0.022988506,0.129886063,0.009146168,79
AT5G05860,2.630702871,0.108579639,0.011494253,0.101273213,0.005371331,80
AT5G09660,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,81
AT5G10950,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,82
AT5G13630,2.43541198,0.083439762,0.011494253,0.099479842,0.006514225,83
AT5G27410,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,84
AT5G39490,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,85
AT5G50940,1.543080635,0.011494253,0.011494253,0.086416833,0.011363636,86
AT5G60600,2.630702871,0.108579639,0.011494253,0.101273213,0.005371331,87
