InteractorA,InteractorB,Correlation,t-statistic,p_value
AT1G03550,AT1G76540,0.9988956,42.51931642,1.82897E-06
AT1G03600,AT3G52150,0.9979604,31.26632295,6.23574E-06
AT1G08370,AT2G03975,0.9976651,29.21586029,8.17132E-06
AT1G08380,AT1G29910,0.99845564,35.94493451,3.57572E-06
AT1G08380,AT1G30380,0.9985397,36.96722316,3.19719E-06
AT1G08380,AT1G32080,0.99949735,63.05463991,3.78927E-07
AT1G08380,AT1G58602,0.9979548,31.22324766,6.27011E-06
AT1G08380,AT1G68520,0.9996013,70.80596768,2.38394E-07
AT1G08380,AT1G68890,0.9995605,67.43364419,2.8974E-07
AT1G08380,AT2G05070,0.9993442,55.19799787,6.44924E-07
AT1G08380,AT2G30520,0.99792856,31.0243937,6.43185E-06
AT1G08380,AT2G35260,0.99893886,43.37936215,1.68842E-06
AT1G08380,AT2G38330,0.99922407,50.73984271,9.02882E-07
AT1G08380,AT3G21330,0.9985145,36.65138551,3.30855E-06
AT1G08380,AT3G27690,0.99927944,52.65596236,7.78606E-07
AT1G08380,AT3G60070,0.9982955,34.21054024,4.35554E-06
AT1G08380,AT4G03280,0.99901956,45.13202541,1.44142E-06
AT1G08380,AT4G14120,0.9979774,31.39778386,6.13231E-06
AT1G08380,AT4G26850,0.99905235,45.90719352,1.34665E-06
AT1G08380,AT5G04140,0.99953943,65.87575942,3.18113E-07
AT1G10930,AT1G18350,-0.9980197,-31.7324708,5.87849E-06
AT1G10960,AT1G72600,0.99960953,71.5486198,2.28655E-07
AT1G16025,AT5G50940,0.999393,57.37411827,5.52596E-07
AT1G20015,AT4G03905,0.99898696,44.39867709,1.53888E-06
AT1G20020,AT3G04650,0.9975939,28.77869874,8.67719E-06
AT1G20330,AT1G68360,-0.9979909,-31.50363192,6.05058E-06
AT1G20340,AT1G32060,0.9982491,33.75308908,4.59579E-06
AT1G20340,AT1G71500,0.99808383,32.26075147,5.50398E-06
AT1G20340,AT1G75470,0.9977315,29.64185804,7.71332E-06
AT1G20340,AT2G02510,-0.99801457,-31.69127731,5.90901E-06
AT1G20340,AT3G17100,0.99906874,46.31039254,1.30043E-06
AT1G20340,AT3G51420,0.998741,39.81886151,2.37669E-06
AT1G30360,AT4G08960,-0.9976225,-28.95201445,8.47208E-06
AT1G30380,AT1G32080,0.9982957,34.21294331,4.35432E-06
AT1G30380,AT1G68520,0.99937904,56.72513588,5.78296E-07
AT1G30380,AT3G02150,0.997466,28.04065656,9.62333E-06
AT1G30380,AT3G59780,0.9988619,41.88486042,1.94211E-06
AT1G30380,AT3G59980,0.9975002,28.23226414,9.3658E-06
AT1G30380,AT4G03280,0.9986029,37.79646267,2.92633E-06
AT1G30380,AT4G10340,0.99856997,37.35718449,3.06608E-06
AT1G30380,AT4G26850,0.99814135,32.75744985,5.17866E-06
AT1G30380,AT5G04140,0.9977628,29.84921741,7.502E-06
AT1G30380,AT5G05860,0.99752444,28.37077926,9.18497E-06
AT1G30380,AT5G60600,0.9974732,28.08040134,9.56919E-06
AT1G31240,AT2G39980,0.9990207,45.15817758,1.43809E-06
AT1G31935,AT2G23580,-0.99855185,-37.12227972,3.14423E-06
AT1G32060,AT1G71500,0.99742234,27.80096814,9.95806E-06
AT1G32060,AT2G35390,0.9983621,34.90120765,4.02176E-06
AT1G32060,AT3G17100,0.9975324,28.41677015,9.12589E-06
AT1G32060,AT3G19800,0.99793607,31.08085582,6.3854E-06
AT1G42550,AT3G51820,0.9985507,37.10772048,3.14916E-06
AT1G42970,AT1G60600,0.99934375,55.17790775,6.45862E-07
AT1G42970,AT1G75580,0.99821025,33.38384414,4.80189E-06
AT1G42970,AT1G78630,0.99744624,27.9312751,9.77431E-06
AT1G42970,AT2G20570,0.9985795,37.48282367,3.02527E-06
AT1G42970,AT2G23670,0.99782866,30.3000173,7.06696E-06
AT1G42970,AT2G45560,0.99790764,30.86831262,6.56247E-06
AT1G42970,AT3G14420,0.99956554,67.82611441,2.83096E-07
AT1G42970,AT3G21870,0.9981944,33.23656605,4.88731E-06
AT1G42970,AT3G26710,0.9979025,30.83059206,6.59453E-06
AT1G42970,AT4G14130,0.998459,35.98399238,3.56026E-06
AT1G42970,AT4G30950,0.99812686,32.63022528,5.25965E-06
AT1G42970,AT4G37930,0.99858284,37.52709665,3.01105E-06
AT1G42970,AT5G09660,0.9998745,126.2092666,2.36377E-08
AT1G42970,AT5G13630,0.99822277,33.50144356,4.73502E-06
AT1G62780,AT4G24280,0.9980478,31.96094799,5.71273E-06
AT1G68725,AT5G27410,-0.99847674,-36.19363589,3.47869E-06
AT1G70560,AT4G26220,-0.9990363,-45.52348918,1.39256E-06
AT3G04115,AT5G10950,0.99802995,31.81509853,5.81786E-06
AT3G12760,AT4G13200,-0.99817455,-33.05482921,4.99535E-06
AT3G12780,AT3G18680,0.9977538,29.78921825,7.56239E-06
AT4G03175,AT5G39490,0.9999577,217.383908,2.68646E-09
AT4G03280,AT4G26850,0.99771315,29.52234777,7.8385E-06
