InteractorA,InteractorB,Correlation,t-statistic,p_value
AT1G30510,AT5G12030,0.99858403,37.54294634,3.00598E-06
AT1G31330,AT2G08020,0.99812734,32.63439884,5.25696E-06
AT1G32060,AT2G38080,-0.99867386,-38.79625686,2.63676E-06
AT1G68750,AT2G13665,0.99852675,36.80399521,3.25415E-06
AT1G68750,AT3G25020,0.99921846,50.55728534,9.15977E-07
AT1G68750,AT4G11580,0.99999994,5792.618406,5.32907E-15
AT1G68750,AT5G43000,0.9987815,40.47677835,2.22619E-06
AT1G68750,AT5G62970,0.998781,40.46883658,2.22794E-06
AT3G04120,AT3G13800,-0.99884343,-41.54797533,2.00575E-06
AT3G47520,AT5G27770,0.99866104,38.60953346,2.68802E-06
AT3G55440,AT3G61240,0.99852914,36.83392142,3.24361E-06
AT3G55800,AT5G21430,0.99746805,28.0519474,9.60791E-06
AT4G03280,AT5G46110,0.9979137,30.91349209,6.52432E-06
