Genes,sub-cen,clo-cen,degree,katz,p-rank,classes
AT1G08370,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,0
AT1G08380,5.909248914,0.06790871,0.053097345,0.103318197,0.026493866,1
AT1G10950,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,2
AT1G10960,3.762195691,0.03539823,0.03539823,0.087493113,0.020864555,3
AT1G15690,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,4
AT1G15820,1.690548923,0.02022756,0.008849558,0.068744589,0.005748774,5
AT1G19050,1.807663939,0.053316756,0.008849558,0.070327097,0.005068615,6
AT1G20330,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,7
AT1G20340,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,8
AT1G29910,1.807663939,0.053316756,0.008849558,0.070327097,0.005068615,9
AT1G29930,1.690548923,0.02022756,0.008849558,0.068744589,0.005748774,10
AT1G30360,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,11
AT1G30380,7.258947692,0.099251191,0.061946903,0.112666092,0.028671215,12
AT1G30490,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,13
AT1G31940,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,14
AT1G32060,2.178183557,0.017699115,0.017699115,0.073463605,0.012802805,15
AT1G42960,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,16
AT1G42970,26.27334045,0.102402023,0.123893805,0.175431109,0.050136504,17
AT1G49580,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,18
AT1G52230,1.873175437,0.070893708,0.008849558,0.071261887,0.004796962,19
AT1G55210,1.873175437,0.070893708,0.008849558,0.071261887,0.004796962,20
AT1G56060,1.690548923,0.02022756,0.008849558,0.068744589,0.005748774,21
AT1G62790,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,22
AT1G67090,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,23
AT1G68238,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,24
AT1G68520,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,25
AT1G68725,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,26
AT1G68750,201.7156361,0.318584071,0.318584071,0.431214015,0.149852556,27
AT1G70560,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,28
AT1G71150,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,29
AT1G72610,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,30
AT1G75580,1.873175437,0.070893708,0.008849558,0.071261887,0.004796962,31
AT2G04405,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,32
AT2G04555,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,33
AT2G06520,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,34
AT2G19150,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,35
AT2G21330,1.873175437,0.070893708,0.008849558,0.071261887,0.004796962,36
AT2G31035,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,37
AT2G33051,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,38
AT2G36990,1.589091778,0.01179941,0.008849558,0.067341638,0.006756492,39
AT2G39975,1.589091778,0.01179941,0.008849558,0.067341638,0.006756492,40
AT2G41590,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,41
AT2G47590,1.690548923,0.02022756,0.008849558,0.068744589,0.005748774,42
AT3G01925,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,43
AT3G04090,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,44
AT3G04120,2.178183557,0.017699115,0.017699115,0.073463605,0.012802805,45
AT3G08940,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,46
AT3G11170,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,47
AT3G12775,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,48
AT3G12780,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,49
AT3G14185,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,50
AT3G15680,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,51
AT3G16040,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,52
AT3G29637,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,53
AT3G30340,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,54
AT3G44350,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,55
AT3G44660,1.589091778,0.01179941,0.008849558,0.067341638,0.006756492,56
AT3G46780,1.873175437,0.070893708,0.008849558,0.071261887,0.004796962,57
AT3G47510,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,58
AT3G47520,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,59
AT3G51510,1.807663939,0.053316756,0.008849558,0.070327097,0.005068615,60
AT3G52700,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,61
AT3G54050,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,62
AT3G54230,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,63
AT3G55790,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,64
AT3G59695,1.589091778,0.01179941,0.008849558,0.067341638,0.006756492,65
AT3G59980,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,66
AT3G63140,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,67
AT3G63410,2.807369938,0.081662373,0.017699115,0.081593707,0.008549788,68
AT4G01890,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,69
AT4G03240,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,70
AT4G03280,8.247520414,0.075015435,0.03539823,0.103917428,0.013604426,71
AT4G07165,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,72
AT4G09365,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,73
AT4G09850,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,74
AT4G09985,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,75
AT4G10340,3.609125369,0.102402023,0.017699115,0.088804998,0.007840896,76
AT4G15100,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,77
AT4G19000,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,78
AT4G21280,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,79
AT4G26288,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,80
AT4G26390,1.807663939,0.053316756,0.008849558,0.070327097,0.005068615,81
AT4G26520,2.56904123,0.072486825,0.008849558,0.077538389,0.004359723,82
AT4G30950,4.611569411,0.073310539,0.017699115,0.087930131,0.007250649,83
AT4G31420,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,84
AT4G31690,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,85
AT4G32540,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,86
AT4G32570,1.807663939,0.053316756,0.008849558,0.070327097,0.005068615,87
AT4G34690,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,88
AT4G38065,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,89
AT4G38092,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,90
AT5G00865,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,91
AT5G00925,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,92
AT5G02665,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,93
AT5G03235,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,94
AT5G04865,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,95
AT5G05545,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,96
AT5G07145,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,97
AT5G07635,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,98
AT5G08230,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,99
AT5G08825,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,100
AT5G12850,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,101
AT5G13825,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,102
AT5G19880,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,103
AT5G20620,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,104
AT5G22610,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,105
AT5G25320,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,106
AT5G26250,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,107
AT5G26820,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,108
AT5G35630,4.611569411,0.073310539,0.017699115,0.087930131,0.007250649,109
AT5G38410,4.611569411,0.073310539,0.017699115,0.087930131,0.007250649,110
AT5G42325,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,111
AT5G44574,6.575434337,0.161535585,0.008849558,0.103116395,0.004853024,112
AT5G49640,1.543080635,0.008849558,0.008849558,0.06666142,0.00877193,113
