InteractorA,InteractorB,Correlation,t-statistic,p_value
AT1G08370,AT3G14185,0.9859331,14.44914139,6.88556E-06
AT1G08380,AT1G19050,0.98823863,15.82976286,4.03157E-06
AT1G08380,AT1G29910,0.9936324,21.60179581,6.42388E-07
AT1G08380,AT3G51510,0.9850071,13.98592226,8.33107E-06
AT1G08380,AT3G63410,0.98486763,13.91984386,8.56482E-06
AT1G08380,AT4G26390,0.9879536,15.63798052,4.3309E-06
AT1G08380,AT4G32570,0.98472285,13.85219897,8.81204E-06
AT1G10950,AT3G08940,0.99152344,18.69286351,1.51299E-06
AT1G10960,AT1G15820,0.9939757,22.21458759,5.4412E-07
AT1G10960,AT1G29930,0.98916024,16.50050949,3.15837E-06
AT1G10960,AT1G56060,0.9905638,17.70401534,2.0857E-06
AT1G10960,AT2G47590,0.9905547,17.69534734,2.09173E-06
AT1G15690,AT5G12850,0.9916708,18.85959862,1.4356E-06
AT1G20330,AT5G26820,0.9863977,14.69900884,6.22785E-06
AT1G20340,AT1G68238,0.985455,14.20446959,7.60912E-06
AT1G30360,AT2G33051,-0.98805255,-15.70377908,4.22538E-06
AT1G30380,AT1G52230,0.9922376,19.54445619,1.1625E-06
AT1G30380,AT1G55210,0.9897251,16.95528142,2.69103E-06
AT1G30380,AT1G75580,0.98923546,16.55901284,3.09324E-06
AT1G30380,AT2G21330,0.99544185,25.56692352,2.35947E-07
AT1G30380,AT3G46780,0.9868454,14.95213985,5.63484E-06
AT1G30380,AT3G63410,0.9892363,16.55967215,3.09252E-06
AT1G30380,AT4G10340,0.98603284,14.50173051,6.74067E-06
AT1G30490,AT5G20620,-0.9876505,-15.44132709,4.66503E-06
AT1G31940,AT3G54230,-0.98897433,-16.3585157,3.32319E-06
AT1G32060,AT2G36990,0.99506414,24.56219463,2.99514E-07
AT1G32060,AT2G39975,0.99361295,21.56858697,6.48279E-07
AT1G42960,AT1G49580,0.989198,16.52983774,3.12552E-06
AT1G42970,AT1G67090,0.99306345,20.68807412,8.30061E-07
AT1G42970,AT1G68520,0.99143064,18.59007613,1.56311E-06
AT1G42970,AT1G72610,0.9847335,13.85714418,8.79369E-06
AT1G42970,AT2G06520,0.9885062,16.01619937,3.76341E-06
AT1G42970,AT3G11170,0.98966146,16.90218411,2.74123E-06
AT1G42970,AT3G54050,0.993867,22.01499283,5.74068E-07
AT1G42970,AT3G63140,0.98618495,14.58303725,6.52358E-06
AT1G42970,AT4G03280,0.9924856,19.8680061,1.05482E-06
AT1G42970,AT4G10340,0.9879477,15.63407416,4.33726E-06
AT1G42970,AT4G21280,0.9873531,15.25520698,5.00918E-06
AT1G42970,AT4G26520,0.99711543,32.17955857,5.98737E-08
AT1G42970,AT4G30950,0.9871395,15.12556272,5.26638E-06
AT1G42970,AT5G35630,0.99182916,19.04377073,1.35543E-06
AT1G42970,AT5G38410,0.99266464,20.1117767,9.81322E-07
AT1G62790,AT5G02665,0.99269515,20.15418806,9.69153E-07
AT1G68725,AT3G59980,0.98951787,16.78418568,2.85673E-06
AT1G68750,AT1G71150,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G04405,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G04555,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G19150,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G31035,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT2G41590,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G01925,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT3G16040,0.9999998,4095.999268,1.42937E-20
AT1G68750,AT3G29637,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT3G30340,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT3G44350,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT3G52700,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT4G01890,0.9944353,23.12183361,4.28988E-07
AT1G68750,AT4G07165,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT4G09850,0.9999998,4095.999268,1.42937E-20
AT1G68750,AT4G09985,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT4G15100,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT4G19000,0.98567945,14.31782449,7.26344E-06
AT1G68750,AT4G31690,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT4G32540,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT4G34690,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT4G38065,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G00865,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G00925,0.9999999,5016.554395,4.23517E-21
AT1G68750,AT5G03235,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G04865,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G07145,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G07635,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G08825,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G13825,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G19880,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G22610,0.9999998,4095.999268,1.42937E-20
AT1G68750,AT5G25320,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G26250,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G42325,0.99999994,7094.479685,5.29396E-22
AT1G68750,AT5G44574,0.99999994,7094.479685,5.29396E-22
AT1G70560,AT4G31420,-0.98876166,-16.20036791,3.51867E-06
AT3G04090,AT5G08230,0.9913439,18.49549804,1.61095E-06
AT3G04120,AT3G44660,0.9937357,21.7808616,6.11679E-07
AT3G04120,AT3G59695,-0.9881172,-15.74722602,4.15734E-06
AT3G12775,AT4G38092,0.9844365,13.72117629,9.31488E-06
AT3G12780,AT3G15680,0.9853489,14.15180008,7.77623E-06
AT3G47510,AT4G26288,0.98912585,16.47397593,3.18843E-06
AT3G47520,AT4G09365,0.98678523,14.91740037,5.7122E-06
AT3G55790,AT5G05545,0.9920317,19.28722866,1.2573E-06
AT4G03240,AT5G49640,-0.9870228,-15.05604745,5.41061E-06
AT4G03280,AT4G30950,0.98803544,15.6923472,4.2435E-06
AT4G03280,AT5G35630,0.98762,15.42191286,4.69961E-06
AT4G03280,AT5G38410,0.9888883,16.29399581,3.40137E-06
